score,quantile,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
raw_TCS,10,593,379,208,0.04960221372031668,-0.107508,3.716856180112946,1.6772730480769231,1.185396,4.618089200687703,3.023238751978892,2.237878,-2.7620368891820584,-2.731933,4.8363335625,4.138275,-3.48598441826923,-3.097835,0.48284960422163586,0.6298076923076923,0.20689655172413793,0.3716475095785441,0.5,0.4411764705882353,1.0945685641708374,USEFUL_BUT_NOISY
confidence_adjusted_TCS,1,576,392,274,1.3012608214285715,0.8504495000000001,3.9667035412625693,2.168373124087591,1.599052,4.385597821759137,4.204593354591836,3.42055,-2.467499130102041,-1.777447,5.810200645985402,4.53007,-2.756488649635037,-2.151639,0.6428571428571429,0.6751824817518248,0.3321917808219178,0.3698630136986301,0.5192307692307693,0.3269230769230769,1.7039898021840272,USEFUL_BUT_NOISY
confidence_adjusted_TCS,2,585,372,263,2.124565053763441,1.374391,5.570022877609908,3.39784725095057,2.34213,5.647517883195077,5.0900526236559145,3.424345,-2.266996795698925,-2.1244235,6.996737228136883,5.014327,-2.7701952091254753,-2.532121,0.6155913978494624,0.7034220532319392,0.3436293436293436,0.21621621621621623,0.5898876404494382,0.25842696629213485,2.2452844367989626,USEFUL_BUT_NOISY
confidence_adjusted_TCS,3,585,386,238,1.4918753549222796,0.8625775,4.596587365283026,3.2012014663865545,2.150594,5.413167667253434,4.397531694300517,3.0875595000000002,-2.645014274611399,-2.196435,6.748861949579831,4.820089,-2.9967258655462183,-2.428035,0.6424870466321243,0.7521008403361344,0.3580645161290323,0.18387096774193548,0.5502645502645502,0.2222222222222222,1.6625738985649123,USEFUL_BUT_NOISY
confidence_adjusted_TCS,4,585,391,263,1.102610948849105,0.357009,4.317724731386505,2.524995847908745,1.713702,5.18332104870669,4.296912324808184,3.094876,-2.7685098132992327,-2.30011,6.375652574144486,5.140836,-3.353172330798479,-3.019496,0.5396419437340153,0.6501901140684411,0.30434782608695654,0.2809364548494983,0.5527638190954773,0.35175879396984927,1.5520668571109575,USEFUL_BUT_NOISY
confidence_adjusted_TCS,5,590,421,284,1.6971297553444182,1.429891,4.41762212536609,2.951605767605634,2.168947,5.409407529098128,4.729335052256532,3.330313,-2.427661085510689,-2.073704,7.009090147887324,5.552433,-2.9034824436619715,-2.3018445,0.6508313539192399,0.7077464788732394,0.3710691823899371,0.22327044025157233,0.6350710900473934,0.32701421800947866,1.9481034978412803,USEFUL_BUT_NOISY
confidence_adjusted_TCS,6,581,423,302,1.4109932482269503,0.604452,4.8082293871493,2.7209068874172186,1.751313,5.047103996034024,4.800992338061466,3.2942,-2.5715968297872345,-2.265501,6.602171278145695,5.396077,-2.940632930463576,-2.669223,0.5910165484633569,0.7019867549668874,0.3248407643312102,0.2070063694267516,0.5571428571428572,0.24761904761904763,1.8669304155498918,USEFUL_BUT_NOISY
confidence_adjusted_TCS,7,583,400,276,1.1924885949999997,0.445843,4.217839105971019,2.356905105072464,1.351351,4.698301084350801,4.216099395,2.925509,-2.6456358825,-2.2546559999999998,6.114306391304348,4.5565929999999994,-3.194781713768116,-2.953545,0.585,0.6920289855072463,0.2857142857142857,0.23469387755102042,0.4527363184079602,0.3582089552238806,1.5936053116334308,USEFUL_BUT_NOISY
confidence_adjusted_TCS,8,587,416,262,0.7477557307692307,0.703484,3.7322444840343443,2.1578931030534347,2.112758,4.810616372538665,3.8510459711538463,2.7526025,-2.8988978629807693,-2.401079,5.820810591603054,4.558495,-3.2836213244274814,-2.458082,0.5600961538461539,0.6564885496183206,0.31699346405228757,0.2875816993464052,0.5405405405405406,0.31351351351351353,1.328451761040673,USEFUL_BUT_NOISY
confidence_adjusted_TCS,9,583,377,224,0.8354796259946949,0.664025,4.299831830444423,3.280041089285714,2.761062,5.542201680520226,3.75414400530504,3.012563,-2.823281615384615,-2.320234,6.499495558035714,5.1416425,-3.378014647321428,-2.7104865,0.5570291777188329,0.6964285714285714,0.35074626865671643,0.34328358208955223,0.5595238095238095,0.40476190476190477,1.3297093654589658,USEFUL_BUT_NOISY
confidence_adjusted_TCS,10,593,376,201,0.08996968085106385,-0.112509,3.8485340181307452,1.8485390796019903,1.185396,5.140174373557223,3.036428321808511,2.108375,-2.8134551941489363,-2.7314555,5.093097422885572,4.138275,-3.5084753681592042,-3.097835,0.48138297872340424,0.6268656716417911,0.21235521235521235,0.3938223938223938,0.4961832061068702,0.4198473282442748,1.0792524182092131,USEFUL_BUT_NOISY
