setup_type,analysis_kind,slice_value,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
none,MARKET_REGIME,Distribution,310,263,176,1.1446823726235742,0.697262,4.768762282625304,1.2569649488636365,0.285633,5.388869620692681,4.3261423384030415,3.127559,-2.402390205323194,-1.866904,5.885519545454545,4.047361,-3.051123085227273,-2.45341,0.596958174904943,0.5227272727272727,0.315,0.405,0.45714285714285713,0.4928571428571429,1.8007658909103172,USEFUL_BUT_NOISY
pullback,ALL,ALL,3588,2445,1630,1.3354999852760736,0.664025,4.708918725981929,3.199904509202454,2.502481,5.389904432591394,4.5211403987730066,3.081271,-2.7203327202453984,-2.305442,6.780478881595092,5.1884445,-3.1165794478527604,-2.657602,0.5815950920245399,0.7134969325153374,0.33882482152663373,0.25480505216913785,0.5778145695364238,0.29635761589403975,1.6619806706457434,STRONGER_AGGREGATE
pullback,SQ_QUARTILE,1,897,655,496,1.4779660503816794,0.747242,4.724786823929168,2.736520939516129,2.3449745,5.210509552160289,4.70258874351145,3.519704,-2.907673044274809,-2.240799,6.491585260080645,4.8920625,-3.2927196915322576,-2.811053,0.6152671755725191,0.6895161290322581,0.35375494071146246,0.3241106719367589,0.5529100529100529,0.34656084656084657,1.6173031396259698,STRONGER_AGGREGATE
pullback,SQ_QUARTILE,2,897,630,448,1.1224146492063494,0.805844,4.67934117761064,2.256115113839286,1.6486399999999999,5.066952856976089,4.28449703968254,3.1197035,-2.643533431746032,-2.272306,5.97621734375,4.269796,-3.19432884375,-2.6424415,0.5825396825396826,0.6495535714285714,0.3179916317991632,0.27615062761506276,0.5176470588235295,0.3323529411764706,1.6207463042571264,STRONGER_AGGREGATE
pullback,SQ_QUARTILE,3,897,608,364,1.2318729851973684,0.085798,5.253944246695815,3.6636735109890113,2.671773,5.586889110131461,4.645044162828947,2.91266,-2.8415527483552636,-2.50073,7.338315980769232,6.035558,-3.1831309835164836,-2.654867,0.5180921052631579,0.75,0.3393258426966292,0.23595505617977527,0.6014760147601476,0.28413284132841327,1.6346851789105703,STRONGER_AGGREGATE
pullback,SQ_QUARTILE,4,897,552,322,1.5237856829710144,0.9213985,4.040874138735601,4.702525574534161,3.77784,5.516227850000651,4.439443228260869,2.8422805,-2.452169427536232,-2.2218299999999997,7.713856835403727,6.6345045,-2.661852586956522,-2.428035,0.6105072463768116,0.7981366459627329,0.34438775510204084,0.16071428571428573,0.684931506849315,0.1689497716894977,1.8104145571708357,STRONGER_AGGREGATE
pullback,TRIGGER_STATE,approaching,4,0,0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE_ONLY
pullback,TRIGGER_STATE,at_trigger,71,33,25,-1.6112995757575757,-0.581265,3.118234513828388,1.7439856800000002,1.625776,2.975100390644738,3.325143484848485,3.522124,-3.053833727272727,-2.528753,4.043120640000001,3.522124,-4.18959324,-2.305442,0.3939393939393939,0.8,0.36,0.24,0.5263157894736842,0.3157894736842105,1.0888423476212163,WEAK
pullback,TRIGGER_STATE,beyond_trigger,1681,1154,728,1.3436265571923744,0.4784675,4.669074358510283,3.3172391126373624,2.698264,5.203372703662861,4.602316179376084,3.2176475,-2.7146629116117853,-2.397857,6.936389269230769,5.5312405,-3.0042496043956044,-2.6562345,0.5580589254766031,0.7074175824175825,0.35599078341013823,0.24193548387096775,0.6132596685082873,0.31123388581952116,1.6953545722711982,STRONGER_AGGREGATE
pullback,TRIGGER_STATE,extended_beyond_trigger,665,539,358,0.5274039591836734,0.105772,4.683203579413014,1.5997992402234635,0.944184,5.024845294766866,3.952478003710575,2.764977,-3.1370226864564006,-2.502131,5.962978005586592,4.333365000000001,-3.890061849162011,-3.415168,0.5194805194805194,0.61731843575419,0.2396088019559902,0.22493887530562348,0.4444444444444444,0.3037037037037037,1.259945623209795,STRONGER_AGGREGATE
pullback,TRIGGER_STATE,freshly_triggered,771,423,273,2.4834367730496454,1.402425,4.685239429305333,5.906742575091576,4.243172,6.090171515680692,5.250325111111111,3.23741,-2.295207312056738,-2.130682,8.853469923076922,7.693426,-2.497009717948718,-2.250844,0.706855791962175,0.8827838827838828,0.4025157232704403,0.2389937106918239,0.6948356807511737,0.2112676056338028,2.287516723884209,USEFUL_BUT_NOISY
pullback,TRIGGER_STATE,invalidated,384,292,242,1.457697294520548,0.870147,4.708066790306615,2.305035537190083,2.043793,4.510117343045304,4.322566030821918,2.965574,-2.5393060479452054,-1.9911280000000002,5.463703045454545,4.323635,-2.8685052396694215,-2.338435,0.6301369863013698,0.6776859504132231,0.365,0.395,0.5370370370370371,0.3395061728395062,1.7022627242272423,USEFUL_BUT_NOISY
